Country,Country.code,Region,GEO,Area,Decline,Population (2018),Land Area (KM2),Area (km2),Density (2018),Prop_sixtyfive,ForeignBornPopulation,Note,Unemploy rate,Note,RU_Class,Altitude,Proximity_Capital,Proximity_UrbanArea (> 1mil),Proximity_UrbanArea (km),Coast,Proximity_Coast,Proximity_Coast(km)
Albania,AL,SE,AL031,Berat,1,127431,1809,1882,82.7368712,12.1026602,0.92,,9.4,2016 data,3,156.824032,40.41506285,121242.7003,121.2427003,1,0,0
Albania,AL,SE,AL011,Dibër,1,120978,1638,1661,88.03296703,8.978671551,0.55,,8.2,2016 data,3,146.3148225,46.45200353,187698.0129,187.6980129,0,0,0
Albania,AL,SE,AL014,Lezhë,1,126800,2339,2392,59.74134245,11.37009707,1.48,,15,2016 data,3,145.62692,0,175142.9647,175.1429647,0,0,0
Albania,AL,SE,AL035,Vlorë,1,189282,3575,3737,51.74937063,13.85846049,2.79,,24.7,2016 data,3,131.6010435,61.03755769,173388.5852,173.3885852,1,0,0
Albania,AL,SE,AL021,Elbasan,1,278547,3293,3314,93.21014273,10.19717605,1.12,,13.2,2016 data,3,119.6436955,0,161478.2882,161.4782882,0,0,0
Albania,AL,SE,AL032,Fier,1,298144,2863,2879,113.4701362,12.06840438,1.33,,13,2016 data,3,114.3654596,23.33237864,174259.6211,174.2596211,0,0,0
Albania,AL,SE,AL012,Durrës,0,289628,3315,3528,81.38280543,10.70532945,1.78,,14.9,2016 data,2,108.2670261,39.6763122,181177.0442,181.1770442,1,0,0
Albania,AL,SE,AL013,Kukës,1,77394,2455,2469,36.41425662,7.963232191,0.92,,16.9,2016 data,3,86.782059,8.916138484,246195.0965,246.1950965,1,0,0
Albania,AL,SE,AL034,Korcë,1,210178,1787,1801,128.8533856,14.02587619,1.34,,8.8,2016 data,2,82.19174041,38.06825271,160568.1878,160.5681878,1,0,0
Albania,AL,SE,AL022,Tiranë,0,883996,1641,1653,465.3022547,10.23599981,1.54,,19.7,2016 data,1,76.84060606,0,173328.6005,173.3286005,1,0,0
Albania,AL,SE,AL015,Shkodër,1,204994,762,770,295.996063,12.44874551,1.29,,12.8,2016 data,2,35.17889318,0,177476.6494,177.4766494,1,0,0
Albania,AL,SE,AL033,Gjirokastër,1,62952,2629,2705,29.82198555,16.01501884,1.88,,13.5,2016 data,3,25.98408488,0,162573.4825,162.5734825,1,0,0
Andorra,AN,S,-25000020001,Canillo,0,4832,#N/A,#N/A,,9.904458599,71.87898089,,3.6,National Level,3,183.079646,2.939526084,25182.94004,25.18294004,0,3.445729068,0.003445729
Andorra,AN,S,-25000020002,Encamp,0,12097,#N/A,#N/A,,8.364881918,90.59852172,,3.6,National Level,2,182.7761194,0,21774.84594,21.77484594,0,0,0
Andorra,AN,S,-25000020003,Ordino,0,4937,#N/A,#N/A,,8.359814226,61.91640186,,3.6,National Level,2,181.5128205,2.491995853,30438.5241,30.4385241,0,12554.05916,12.55405916
