,,,,Pop Count,,,,,,,,,,,,,,,,,,,,Birth,,,,,,,,,,,,,,,,,,,,Death,,,,,,,,,,,,,,,,,,,,Net-Migration,,,,,,,,,,,,,,,,,,, 
Country,Name,GEO,Decline,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Impute?
AL,Berat,AL031 ,1,na,192667,188982,185063,181155,176994,172383,167428,162519,157597,153077,149671,146736,143856,141114,138365,135441,131942,127431,,na,na,na,na,na,na,na,na,na,na,na,1594,1723,1717,1709,1528,1413,1319,1184,,na,na,na,na,na,na,na,na,na,na,na,1080,1175,1070,1066,1201,1168,1223,1150,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-3368,-3251,-3744,-4607,-2309,
AL,Dibër,AL011 ,1,na,189275,184167,180595,176827,172590,168150,163074,157999,152783,148074,144198,140956,137722,134332,131054,129056,125579,120978,,na,na,na,na,na,na,na,na,na,na,na,1973,2033,1923,2113,1841,1787,1715,1564,,na,na,na,na,na,na,na,na,na,na,na,909,901,908,927,994,937,920,914,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-4434,-2845,-4328,-5396,-2680,
AL,Durrës,AL012 ,,na,244753,248358,250512,252380,254243,256839,258572,260386,262867,265639,269784,271947,274029,276058,277989,280205,284823,289628,,na,na,na,na,na,na,na,na,na,na,na,3413,3453,3548,3513,3243,3260,3270,3086,,na,na,na,na,na,na,na,na,na,na,na,1779,1756,1806,1779,1911,1936,1955,2074,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,247,884,3294,3488,-512,
AL,Elbasan,AL021 ,1,na,361980,357044,350862,345762,339461,333636,327189,321098,314757,309657,306941,302863,298995,294938,290666,287606,283822,278547,,na,na,na,na,na,na,na,na,na,na,na,3563,3931,3865,3923,3319,3287,2996,2927,,na,na,na,na,na,na,na,na,na,na,na,1935,1934,1936,2052,2151,2077,2206,2188,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-6087,-4228,-4995,-6064,-4305,
AL,Fier,AL032 ,1,na,381841,377857,373090,368056,362086,355766,349570,342638,336356,330378,324865,320789,316599,312248,308014,305108,302507,298144,,na,na,na,na,na,na,na,na,na,na,na,3611,3768,3648,3737,3351,3202,3015,2636,,na,na,na,na,na,na,na,na,na,na,na,2190,2351,2328,2225,2521,2313,2500,2484,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-5693,-3736,-3492,-4877,-3549,
AL,Gjirokastër,AL033 ,1,na,112726,109519,106691,103399,100179,96634,93017,89343,85885,82238,78402,76054,73753,71567,69557,68020,65939,62952,,na,na,na,na,na,na,na,na,na,na,na,743,711,713,753,690,647,566,527,,na,na,na,na,na,na,na,na,na,na,na,803,839,830,775,786,809,821,744,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-1977,-1441,-1919,-2733,-1311,
AL,Korcë,AL034 ,1,na,264902,261549,258555,255264,251918,248587,244583,240875,236904,233820,230261,228118,225634,223029,220196,217422,214321,210178,,na,na,na,na,na,na,na,na,na,na,na,2367,2419,2440,2484,2257,2060,1956,1634,,na,na,na,na,na,na,na,na,na,na,na,2051,2169,2077,2126,2286,2140,2197,2089,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-3155,-2745,-3021,-3901,-1835,
AL,Kukës,AL013 ,1,na,110858,108011,106286,104866,103173,101084,98773,96304,93626,91226,89397,87762,86082,84306,82428,81294,79559,77394,,na,na,na,na,na,na,na,na,na,na,na,1400,1385,1334,1272,1140,1141,1091,952,,na,na,na,na,na,na,na,na,na,na,na,468,460,488,494,581,512,610,502,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-2638,-1693,-2365,-2645,-1251,
AL,Lezhë,AL014 ,1,na,158920,158055,156266,154193,152360,150094,147583,145240,142872,140755,139735,137782,135703,133748,131829,130258,129019,126800,,na,na,na,na,na,na,na,na,na,na,na,1690,1632,1782,1749,1615,1576,1501,1362,,na,na,na,na,na,na,na,na,na,na,na,912,975,1014,948,1028,998,1018,975,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-2695,-2158,-1818,-2702,-1992,
